CAMPUS,CAMPNAME,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSBTOFC,CPSBTOPC,CPSETOFC,CPSETOFP,CPSHEXPA,CPSHTENA,CPSLEXPA,CPSLTENA,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSRTOFC,CPSRTOPC,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST21FC,CPST21FP,CPST21SA,CPST30FC,CPST30FP,CPST30SA,CPSTASFC,CPSTASFP,CPSTBAFC,CPSTBAFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTMSFC,CPSTMSFP,CPSTNOFC,CPSTNOFP,CPSTOPFC,CPSTOPFP,CPSTPHFC,CPSTPHFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA,DISTNAME
"'226907104","GRAPE CREEK PRI",4.5,13,34.7,0,0,10.5,30.2,0,0,0,0,0,24.2,69.8,0,1,0,0,.,5,21.1,41792,6.4,27,41657,3,12.7,43857,4.5,19.1,52929,3.8,16,56861,1,4.2,57040,0,0,20.7,87.3,0,0,0,0,2.5,10.5,10.5,22.2,93.6,0,0,3,12.7,0,0,13.3,1.5,6.4,3,12.7,0,0,0,0,0,0,0,0,17.3,73.1,3.9,16.4,6.6,23.7,68.3,47193,0,0,0,0,20.7,87.3,0.5,1.4,55688,"GRAPE CREEK ISD"
"'226908001","VERIBEST H S",1,4.5,21.2,0,0,2.8,13.1,5,5,0,0,0,18.4,86.9,0,1,1,4.9,71212,3,17.6,32362,1.9,11.2,43075,7.2,42.1,49431,2.1,12.3,55802,1.9,11.2,60757,1,5.6,49527,0,0,16,94.1,0,0,0,0,0,0,11.2,9.7,57,0,0,1,5.6,0,0,8.1,7.3,43,0,0,1,5.9,1.7,10.2,0,0,0,0,11.2,65.5,0.4,2.6,5.3,17,80.4,47779,0,0,3.7,21.6,16.1,94.4,0.3,1.6,67800,"VERIBEST ISD"
"'226908002","FAIRVIEW ACCELERATED",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"VERIBEST ISD"
"'226908101","VERIBEST EL",0,0,12.7,0,0,2.5,19.9,6,3,0,0,0,10.2,80.1,0,1,1,7.9,65472,0,0,.,1,10.7,42421,1.4,16.2,44874,3.6,40.8,53206,2.9,32.2,59852,0,0,.,0,0,8.9,100,0.3,3.4,0,0,0,0,13.7,8.4,94.6,0,0.3,0,0,0,0,13,0.5,5.4,0,0,0,0,0,0,0,0,0,0,7.9,89,0.7,7.4,6.4,8.9,69.6,52842,0,0,0,0,8.9,100,0.3,2.6,67800,"VERIBEST ISD"
"'227506001","UNIVERSITY OF TEXAS AT AUSTIN H S",7,27,25.9,0,0,0,0,2,1,11,1,9.6,25.9,100,2,0,6.7,25.9,75648,0,0,.,0,0,.,7,49.3,61143,6.3,44.3,69737,0.6,4.2,53328,0.3,2.1,46507,0,0,3.3,23.3,0,0,1,7,0,0,12.5,9.9,69.8,2.9,20.1,1,7,0.3,2,-2,4.3,30.2,10.9,76.7,0,0,0,0,0,0,0,0,8.9,63.1,0,0,1.4,14.2,54.8,64311,0,0,2.4,16.8,11.9,83.9,5,19.3,76387,"UNIVERSITY OF TEXAS AT AUSTIN H S"
"'227803001","WAYSIDE SCI-TECH MIDDLE AND H S",35.2,64.5,54.6,0,0,10.9,20,4,3,4.3,3.3,0,43.6,80,1,0,1.9,3.5,85296,9.2,23.8,50218,14.6,37.6,52371,7.9,20.4,52494,4.3,11.1,53195,2.8,7.2,58147,0,0,.,1,2.6,27.2,70.2,0.9,2.3,3.7,9.5,1,2.6,5.7,29.1,75.1,0,0,17.7,45.9,0,0,13.5,9.6,24.9,9.3,23.9,0,0,0,0,2.3,5.9,0,0,31,80.2,3.5,9,1.9,38.7,70.9,52390,1,2.6,2.3,5.9,15.3,39.5,3,5.5,56798,"WAYSIDE SCHOOLS"
"'227803101","WAYSIDE EDEN PARK ACADEMY",11.1,33.3,33.3,0,0,8.4,25.2,2,2,0,0,0,24.9,74.8,0,0,2,6,81370,8.2,41.1,49273,9.5,47.8,54628,1.7,8.7,50545,0,0,.,0.5,2.4,60288,0,0,.,0.5,2.5,16.4,82.5,0,0,2.4,12.2,0.5,2.5,2.9,18.4,92.8,0,0,2.7,13.7,0,0,13.8,1.4,7.2,3.5,17.5,0,0,0,0,0,0,0,0,17.5,87.8,1.9,9.7,1.1,19.9,59.8,52213,1,5,0,0,13.2,66.5,3,9,51717,"WAYSIDE SCHOOLS"
"'227803102","WAYSIDE REAL LEARNING ACADEMY",35.9,70.9,50.6,0,1,16.1,31.8,3,3,2,2,0,34.5,68.2,1,0,4.9,9.6,67493,5.9,21.4,49260,10.9,39.4,52522,7.8,28.4,52259,3,10.9,56252,0,0,.,0,0,.,1,3.5,25.7,93,0,0,3,10.9,0,0,4.7,24.6,89.1,0,0,12.7,45.9,0,0,20.4,3,10.9,1.9,7,0,0,0,0,0,0,0,0,24.8,89.7,2.8,10.3,2.3,27.6,54.6,52155,0,0,0,0,11,39.7,2,4,51861,"WAYSIDE SCHOOLS"
"'227803103","WAYSIDE ALTAMIRA ACADEMY",21.8,57.9,37.7,0,0,10.6,28,3.3,1,1,1,0,27.2,72,1,0,5,13.2,73600,4.9,24.9,49541,10.9,54.9,49387,1,5,50090,1,5,51399,2,10.1,59556,0,0,.,0.9,4.5,14.9,75.3,0,0,1,5,1,4.9,4.7,13.9,70.3,0,0,6,30.3,0,0,14.8,5.9,29.7,4.9,24.7,0,0,0,0,0,0,0,0,17,85.6,1.9,9.5,1.6,19.8,52.5,50588,0,0,0,0,11.9,60.2,2.3,6.2,51977,"WAYSIDE SCHOOLS"
"'227804101","NYOS CHARTER SCHOOL",22.4,44,51,0,0,8.8,17.4,1,1,1.3,1.3,0,42.1,82.6,2,1,4.3,8.3,73079,1.8,5.6,23852,9.4,29.7,62502,8.3,26,56627,9,28.3,56532,3.3,10.4,60913,0,0,.,2.1,6.8,19.3,60.9,0,0,1.2,3.7,0,0,8.6,21.4,67.2,0,0,7.8,24.6,0,0,9.2,10.4,32.8,10.5,33.1,0.5,1.5,0,0,1.4,4.5,0,0,26.8,84.4,0.6,1.9,4.7,31.8,62.4,56964,0.6,1.7,4.3,13.7,20.1,63.1,6.1,12,67574,"NYOS CHARTER SCHOOL"
"'227804102","NYOS - MAGNOLIA MCCULLOUGH CAMPUS",40,35.6,112.6,0,0,12.2,10.8,16,16,8,2,1,100.4,89.2,0,0,2.8,2.5,91234,14.6,15.3,46095,42,44,51755,15.1,15.8,52479,18,18.9,55700,5.7,6,61432,0,0,.,3.9,4,60.3,63.2,0,0,10.3,10.8,4,4.2,6.7,79.9,83.8,0,0,13.3,14,0.9,1,14,15.5,16.2,30.6,32.1,4.4,4.6,0,0,0.1,0.1,0,0,84.8,88.9,4.9,5.2,3.1,95.4,84.7,52326,1.9,2,1.7,1.8,65.1,68.3,2.2,2,83122,"NYOS CHARTER SCHOOL"
"'227805041","TEXAS EMPOWERMENT ACADEMY",29.3,96.8,30.3,0,0,6,20,23,23,0,0,0,24.2,80,0,0,0.1,0.2,94624,6.3,32.4,50914,9,46.2,55218,2.3,12,57399,1,5,62213,0.9,4.5,94624,0,0,.,0,0,15.9,81.3,0,0,18.6,95,0,0,3.8,8.1,41.4,0,0,1,5,0,0,12.3,11.5,58.6,2.1,10.9,1.5,7.8,0,0,0,0,0,0,19.4,99.1,0,0,3.5,19.6,64.7,56216,0,0,0.2,0.9,0,0,4.6,15.1,49592,"TEXAS EMPOWERMENT ACADEMY"
"'227805101","TEXAS EMPOWERMENT ACADEMY EL",11.3,100,11.3,0,0,1,8.7,0,0,0,0,0,10.3,91.3,0,0,0,0,.,2.4,26.1,50174,2.9,31.5,53680,2,21.3,60867,2,21,52104,0,0,.,0,0,.,0,0,7.3,79,0,0,9.3,100,0,0,5.2,7.3,79,0,0,0,0,0,0,15.7,2,21,2,21,0,0,0,0,0,0,0,0,9.3,100,0,0,3.4,9.3,82.5,53960,0,0,0,0,0,0,1,8.9,74908,"TEXAS EMPOWERMENT ACADEMY"
"'227806005","SETTLEMENT HOME",3,40.6,7.4,0,0,2,27.1,19,19,0,0,0,5.4,72.9,0,1,0.3,4.5,98155,0,0,.,1,20,61153,2,40,56816,2,40,53135,0,0,.,0,0,.,0,0,4,80,0,0,0,0,0,0,8.2,3,60,0,0,1,20,0,0,5.6,2,40,0,0,1,20,0,0,0,0,0,0,4.7,94.8,0.3,5.2,4.2,5,67.7,56211,0,0,0,0,4,80,0,0.6,72117,"UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL"
