CAMPUS,CAMPNAME,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSBTOFC,CPSBTOPC,CPSETOFC,CPSETOFP,CPSHEXPA,CPSHTENA,CPSLEXPA,CPSLTENA,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSRTOFC,CPSRTOPC,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST21FC,CPST21FP,CPST21SA,CPST30FC,CPST30FP,CPST30SA,CPSTASFC,CPSTASFP,CPSTBAFC,CPSTBAFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTMSFC,CPSTMSFP,CPSTNOFC,CPSTNOFP,CPSTOPFC,CPSTOPFP,CPSTPHFC,CPSTPHFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA,DISTNAME
"'001902001","CAYUGA H S",2,7.2,27.3,0,1,5.7,20.7,9,2,0,0,0.5,21.6,79.3,0,3,0.9,3.2,76403,0.5,2.4,78597,2.8,14.6,40944,4.4,22.9,52778,7.3,37.7,60664,4.3,22.3,63768,0,0,.,0,0,13.5,69.7,0,0,0,0,0,0,13,11,56.9,0,0,0,0,0,0,8.8,8.3,43.1,5.9,30.3,0,0,0,0,0,0,0,0,14.4,74.4,1.2,6.1,5.6,19.3,70.8,57104,0,0,3.8,19.5,19.3,100,1.4,5.3,54245,"CAYUGA ISD"
"'001902041","CAYUGA MIDDLE",1,5.5,17.9,0,1,3.8,21.2,2,2,0,0,0.5,14.1,78.8,0,3,1.4,8,70049,-2,3.4,-2,1.1,9.6,40474,1.1,10.2,58177,3.1,27.2,53290,3.6,32.2,63008,1.9,17.4,63720,0,0,7.7,69,0,0,0,0,0,0,14.9,9.7,86.2,0,0,0,0,0,0,14.8,1.5,13.8,3.5,31,0,0,0,0,0,0,0,0,10.8,96.1,0.4,3.5,7.7,11.2,62.7,58061,0,0,0,0.4,11.2,100,1.4,8,54245,"CAYUGA ISD"
"'001902103","CAYUGA EL",1.9,6.8,28.6,0,1,7.1,24.7,20,20,0,0,0.8,21.6,75.3,0,0,1.3,4.7,75950,1,5.4,40592,1.9,10.9,41613,3.4,18.9,49138,4.9,27.2,55951,5.7,32.1,61296,1,5.5,63181,0,0,16.9,94.6,0,0,1.9,10.9,0,0,16.3,17,95.2,0,0,0,0,0,0,14.3,0.9,4.8,1,5.4,0,0,0,0,0,0,0,0,16.2,90.5,1.7,9.5,11.9,17.9,62.4,54371,0,0,0,0,15.9,89.1,2.4,8.2,64880,"CAYUGA ISD"
"'001903001","ELKHART H S",7,16.1,43.3,0,0,4,9.2,2,2,1,1,0,39.3,90.8,1,0,1.6,3.7,77604,2.8,7.7,31553,6.5,18.1,36953,10.1,28.3,46502,7,19.7,55691,6.4,17.8,56634,3,8.4,60387,0,0,24.3,67.9,0.6,1.6,2,5.6,0,0,13.3,18.9,52.8,0,0,5,14,0,0,8.8,16.9,47.2,8.5,23.7,2,5.6,0.8,2.3,1,2.8,0,0,18.1,50.6,4,11.1,7,35.7,82.4,48403,0,0,12.3,34.3,28.7,80.4,2,4.6,60466,"ELKHART ISD"
"'001903041","ELKHART MIDDLE",1,3.1,31.8,0,0,5,15.7,2,2,0,0,0,26.8,84.3,1,0,1,3.1,80070,3.2,13.6,34140,5.5,23.3,36264,1,4.2,40410,10,42,51742,4,16.9,54668,0,0,.,0,0,20.8,87.3,0.2,0.7,1,4.2,0.3,1.4,11.2,20.6,86.4,0.7,2.9,0,0,0,0,11.3,3.2,13.6,2,8.5,1,4.2,0,0,0,0,0,0,19.5,81.8,1.4,5.7,4.9,23.8,74.9,45761,0,0,1.8,7.5,22.8,95.8,2,6.3,65097,"ELKHART ISD"
"'001903101","ELKHART EL",3,7.3,41.1,0,0,14,34.1,3,3,0,0,0,27.1,65.9,0,1,1,2.4,68340,0.5,2,34140,1.7,7.2,36510,4,17,42195,12.4,52.6,50781,4,17,54733,1,4.2,56720,0,0,20.6,87.3,0,0,1,4.2,4.6,19.6,15.8,23.6,100,0,0,1,4.2,0,0,13.9,0,0,3,12.7,0,0,0,0,0,0,0,0,18.1,76.7,0.9,3.7,11.7,23.6,57.4,48881,0,0,0,0,21.6,91.5,2.5,6.1,48597,"ELKHART ISD"
"'001903102","ELKHART INT",2,6.2,32.4,0,0,8.5,26.3,11,11,0,0,0,23.9,73.7,0,1,1,3.1,88346,2.5,11.8,31266,4.3,20.1,35835,3,14,43313,7.5,35.3,51692,4,18.7,54563,0,0,.,0,0,19.4,90.6,0,0,0,0,0.5,2.3,12.1,20.4,95.3,0,0,1,4.7,0,0,13.2,1,4.7,1,4.7,1,4.7,0,0,0,0,0,0,17,79.4,3.9,18.3,8.2,21.4,66,45450,0,0,0,0,20.4,95.3,1.5,4.6,54607,"ELKHART ISD"
"'001904001","FRANKSTON H S",4.1,12.5,32.9,0,0,5,15.2,7,6,2,2,0,27.9,84.8,0,1,1.4,4.3,79732,2.3,9.1,51642,9.3,36,50271,6,23.5,51279,3.7,14.2,55514,3.6,14,68901,0.8,3.2,59000,0,0,17.6,68.2,0,0,1.1,4.3,0,0,9.6,12.9,50.1,0,0,0,0,0,0,9.5,12.9,49.9,6,23.4,2.2,8.4,0,0,0,0,0,0,23.8,92.2,1.3,4.8,3.8,25.8,78.5,54271,0,0,0.8,3,24.7,95.7,0.7,2,59786,"FRANKSTON ISD"
"'001904041","FRANKSTON MIDDLE",1.9,7.8,24,0,0,4.3,17.7,3,3,2,2,0,19.7,82.3,1,0,2.3,9.6,70886,0,0,.,7.4,44.9,46574,3.3,19.8,48484,3.3,20.2,55003,2.3,13.9,62864,0.2,1.1,59000,0,0,13.8,83.7,0,0,0.9,5.4,0,0,9.6,11.4,69.4,0,0,1,6.1,0,0,11.2,5,30.6,2.3,13.9,0.4,2.4,0,0,0,0,0,0,15,91,1.3,8.1,4.4,16.4,68.5,51059,0,0,0.1,0.9,14.6,88.6,1,4.2,60782,"FRANKSTON ISD"
"'001904102","FRANKSTON EL",2,4.7,42.1,0,0,13.4,31.7,6,6,5,5,0,28.8,68.3,1,0,2,4.7,71978,0,0,.,5.4,21,44375,6,23.3,48250,6,23.3,52833,6.4,24.8,58530,2,7.8,58500,0,0,20,77.5,0,0,0,0,2.7,10.6,15.7,25.8,100,0,0,1,3.9,0,0,14.4,0,0,5.4,20.9,0.4,1.6,0,0,0,0,0,0,20.1,77.7,3,11.6,7.7,25.8,61.2,51844,0,0,0,0,24.8,96.1,1,2.4,57855,"FRANKSTON ISD"
"'001906002","NECHES H S",0,0,18,0,0,2.9,16.1,18,16,0,0,0,15.1,83.9,0,1,1,5.5,91115,1,7.3,45275,1,7.1,43079,3.7,27.4,44703,3.9,28.3,53263,3.1,22.8,65002,1,7.1,60049,0,0,12.6,92.1,0,0,0,0,2.6,19.2,15.5,8.9,65.3,0,0,0,0,0,0,10.2,4.8,34.7,1.1,7.9,0,0,0.1,0.5,0,0,0,0,5.5,40.6,0.5,3.5,10.3,13.7,75.9,52772,0,0,5,36.2,13.7,100,0.4,2.4,77642,"NECHES ISD"
"'001906102","NECHES EL",2.8,10.6,26.4,0,0,7.6,28.9,8.5,8.5,2,2,0,18.8,71.1,0,1,4,15,68655,1,6.7,38120,1,6.7,40297,3,20.8,48461,3.9,26.9,53340,3.8,26.2,60033,1.8,12.7,65936,0,0,13.5,93.5,0,0,1,6.7,2.8,19.2,16.3,12.3,85.7,0,0,0,0,0,0,11.7,2.1,14.3,0.9,6.5,0,0,0,0,0,0,0,0,11.6,80.8,0,0,9.5,14.4,54.5,53781,0,0,0,0,13.4,93.3,0.4,1.7,77642,"NECHES ISD"
"'001907001","PALESTINE H S",34.9,30,116.4,0,0,16.8,14.4,10,10,8.5,5.3,0,99.6,85.6,3,0,7,6,94236,7.9,9.4,40653,14.6,17.3,47263,12.7,15,48607,29.7,35.1,58519,6,7.1,63329,13.5,16,63639,0,0,66.3,78.6,0.7,0.8,11.8,14,4,4.7,14.1,43.4,51.4,0,0,11.8,14,0,0,11.8,41,48.6,14.6,17.2,2.5,3,6.7,8,1,1.2,0,0,44.1,52.2,8.3,9.9,7.6,84.4,72.5,54560,3,3.6,20.5,24.3,57.8,68.5,8.2,7,66451,"PALESTINE ISD"
"'001907041","PALESTINE J H",21.1,35.3,59.9,0,0,9.4,15.7,5,5,5.5,5.5,0,50.5,84.3,1,0,3,5,76748,5.8,12.6,40930,14.8,31.9,42968,9.7,20.8,48557,9.2,19.7,55672,4,8.6,62875,3,6.4,62957,0,0,39.9,85.9,0,0,7.9,17,3.4,7.2,9.8,25.7,55.2,0,0,7.2,15.5,0,0,10.6,20.8,44.8,6.5,13.9,0.1,0.2,0,0,0,0,0,0,33.3,71.7,6,13,4.3,46.5,77.7,49382,0,0,3.8,8.2,31.4,67.5,1,1.7,58793,"PALESTINE ISD"
"'001907101","NORTHSIDE PRI",16.9,29,58.4,0,0,24.9,42.7,3,3,1,1,0,33.5,57.3,1,0,2,3.4,73813,3,10.2,44681,9,30.5,41507,5,16.9,48985,7,23.7,54123,2.5,8.5,59090,3,10.2,63457,0,0,27.5,93.2,2,6.8,0,0,0.5,1.7,12,28.5,96.6,0,0,5,16.9,0,0,15.8,1,3.4,2,6.8,0,0,0,0,0,0,0,0,23,78,4,13.6,8.5,29.5,50.5,49813,0,0,0,0,24.5,83.1,2,3.4,64138,"PALESTINE ISD"
"'001907102","WASHINGTON EARLY CHILDHOOD CENTER",31,70.6,43.9,0,0,27.9,63.5,8,8,0,0,0,16,36.5,0,0,1,2.3,86334,3,20,30000,2,13.3,35250,3,20,47368,6,40,56080,1,6.7,59290,0,0,.,0,0,14,93.3,1,6.7,1,6.7,13,86.7,10.7,14,93.3,0,0,6,40,0,0,14.7,1,6.7,1,6.7,0,0,0,0,0,0,0,0,0,0,1,6.7,7.8,15,34.2,46558,0,0,0,0,8,53.3,0,0,.,"PALESTINE ISD"
"'001907107","SOUTHSIDE EL",19,33.9,56,0,0,19,33.9,6,6,8,8,0,37,66.1,1,0,2,3.6,84467,2,6.1,30000,9,27.3,41876,3,9.1,48513,14,42.4,53335,3,9.1,60040,2,6.1,64665,0,0,28,84.8,2,6.1,2,6.1,0,0,13.1,32,97,3.8,11.4,6,18.2,0,0,13.5,1,3,4,12.1,1,3,0,0,0,0,0,0,23.3,70.5,4,12.1,9.9,33,58.9,49654,1,3,0,0,24,72.7,2,3.6,59996,"PALESTINE ISD"
"'001907110","STORY INT",21.2,31.2,67.8,0,0,16.8,24.8,10,2,2,2,0,51,75.2,1,0,4,5.9,73259,2.1,4.9,39871,11.3,26.3,42477,7,16.3,46556,13.6,31.6,53349,4,9.3,59165,5,11.6,61590,0,0,35,81.4,0.2,0.5,3.3,7.7,0,0,12.7,34.7,80.7,0,0,3,7,0,0,15.7,8.3,19.3,8,18.6,0,0,0,0,0,0,0,0,38.5,89.6,4.3,9.9,6.2,43,63.4,50220,0,0,0,0,36.7,85.3,4,5.9,65380,"PALESTINE ISD"
"'001908002","WESTWOOD H S",10.9,19.8,55,1,1,10.3,18.7,5,5,1,1,0,44.7,81.3,1,0,4.4,8,74174,8,22.3,43161,5.6,15.7,42515,6.8,19,43127,8.4,23.6,57199,5.9,16.6,58982,1,2.8,58346,0,0,24.6,68.9,0,0,2.3,6.4,0,0,10.7,19.3,54.1,0,0,4,11.2,0,0,12.2,16.4,45.9,10.1,28.1,1.1,3,3.3,9.3,0,0,0,0,20.9,58.3,1.2,3.5,3.3,35.8,65,49417,0.1,0.2,10.3,28.9,29.4,82.2,4.6,8.3,50354,"WESTWOOD ISD"
"'001908041","WESTWOOD J H",6,18.9,31.6,0,0,10.5,33.2,16,16,0,0,0,21.1,66.8,1,0,1.2,3.7,87317,6.1,32.3,39686,5.5,29.2,42918,3.3,17.3,43615,1,5.3,50076,2,10.6,58218,1,5.3,58847,0,0,15.5,82.1,0,0,0,0,0,0,8.2,12.9,68.1,0,0,2,10.6,1,5.3,10.8,6,31.9,3.4,17.9,0,0,3.1,16.4,0,0,0,0,13,68.9,1,5.3,3.5,18.9,59.9,44845,0,0,1.8,9.4,15.9,84.1,1,3.2,72711,"WESTWOOD ISD"
"'001908101","WESTWOOD EL",12.9,32.7,39.5,0,0,10.6,26.8,5,5,1.5,1.5,0,28.9,73.2,1,0,2.3,5.8,67886,4,15.6,36980,4,15.8,40213,5.1,19.7,46457,7.1,27.5,53152,2.5,9.7,55554,3,11.7,56766,1,3.9,21.6,84.4,0,0,5.1,19.7,3,11.7,12.1,23.6,92,0,0,0,0,0,0,15.9,2.1,8,4,15.6,0,0,0,0,0,0,0,0,21.2,82.7,1.4,5.6,5.1,25.6,64.9,47926,0,0,0,0,19.6,76.4,1,2.5,59892,"WESTWOOD ISD"
"'001908102","WESTWOOD PRI",10.8,21.9,49.3,0,0,20.6,41.7,4,2,2,2,0,28.7,58.3,1,0,2,4.1,72664,3,11.7,37788,6,23.3,39165,4.7,18.3,45429,9,35,54853,2,7.8,57256,1,3.9,58049,0,0,21.7,84.4,0,0,1,3.9,6,23.3,11.3,23.7,92.2,0,0,1,3.9,0,0,14.1,2,7.8,4,15.6,0,0,0,0,0,0,0,0,17.7,68.9,2,7.8,4.9,25.7,52.2,47785,0,0,0,0,23.7,92.2,1,2,60008,"WESTWOOD ISD"
"'001909001","SLOCUM H S",0,0,15.2,0,0,1,6.3,18,18,0,0,0,14.2,93.7,1,0,1,6.6,94500,0.9,7.8,50185,0.9,7.1,51968,3.7,30.3,49466,3.2,25.8,60053,2.9,23.8,61385,0.6,5.2,65601,0,0,9,74,0,0,0,0,0,0,14.5,7.5,61.2,0,0,0,0,0,0,7.6,4.7,38.8,2.2,18.3,0.9,7.8,0,0,0,0,0,0,10.2,83.2,0.1,1.1,7.9,12.2,80.5,56115,0,0,1.9,15.6,12.2,100,1,6.6,63753,"SLOCUM ISD"
"'001909101","SLOCUM PK - 8",1,3,32.6,1,0,4.8,14.8,6.5,6.5,0,0,0,27.8,85.2,0,0,1.3,4.1,81103,2.4,9.5,41306,3.1,12.3,40852,2.7,10.7,46064,6.8,26.9,56731,10,39.1,59829,0.4,1.4,65601,0,0,21.6,84.9,0,0,0,0,1,3.8,15.2,21.7,85.5,0,0,0,0,0,0,10.1,3.7,14.5,3.4,13.5,0.4,1.7,0,0,0,0,0,0,22.5,88.7,1,3.9,9.1,25.4,78,53504,0,0,0.9,3.6,25.4,100,1,3.1,57832,"SLOCUM ISD"
"'002901001","ANDREWS H S",34.1,30.5,112,0,1,16.9,15.1,4,4,6.3,3.3,0,95.1,84.9,0,3,4.9,4.4,97014,5.1,6.1,55591,14.5,17.3,58999,15.6,18.7,62164,23.9,28.5,67603,20,23.9,73138,4.5,5.4,66309,2,2.4,53.8,64.2,0,0,1,1.2,2.5,3,14.5,46.6,55.7,0.5,0.6,15.9,19,0.5,0.6,13.9,37.1,44.3,26.9,32.2,2,2.4,4.9,5.8,1,1.2,0,0,53.5,63.9,5.8,7,6.4,83.7,74.7,65614,1,1.2,16.5,19.7,63.3,75.6,6.5,5.8,74253,"ANDREWS ISD"
"'002901002","ANDREWS EDUCATION CENTER",5,41.7,12,0,0,5,41.7,11,5,0,0,0,7,58.3,1,0,1,8.3,87410,0,0,.,1,20,55300,0,0,.,3,60,62000,0,0,.,1,20,82900,0,0,2,40,0,0,0,0,0,0,19.2,4,80,0,0,1,20,0,0,10,1,20,3,60,0,0,0,0,0,0,0,0,5,100,0,0,8.2,5,41.7,64840,0,0,0,0,4,80,1,8.3,81021,"ANDREWS ISD"
"'002901041","ANDREWS MIDDLE",28.6,30.9,92.8,0,0,16.8,18.1,4,4,4,3.3,0,76,81.9,2,0,4,4.3,85858,1.9,2.8,56708,16.5,25.2,57383,15.4,23.4,59649,16.6,25.3,65158,11.8,18,69052,3.5,5.3,73807,0,0,51.1,77.9,1,1.5,0,0,3.9,5.9,13.5,39.3,59.9,1.3,2,17.3,26.4,0.5,0.8,14,26.3,40.1,14.5,22.1,0,0,6.5,9.8,0,0,0,0,47.1,71.9,5.1,7.7,6,65.6,70.6,62830,3,4.6,0.8,1.2,44.7,68.2,6.5,7,71851,"ANDREWS ISD"
"'002901101","DEVONIAN EL",23.3,38,61.2,1,0,12,19.6,8,8,4,4,0,49.2,80.4,1,0,2,3.3,84246,2,4.7,55075,9,21.3,56254,9,21.3,58033,12.5,29.8,62523,8.6,20.4,65625,1,2.4,69400,0,0,34.6,82.1,6.4,15.3,0,0,4.9,11.6,12.7,41.2,97.6,0.2,0.5,15.5,36.9,0,0,15.1,1,2.4,7.5,17.9,0,0,0,0,0,0,0,0,27.2,64.4,3.4,8.2,8.6,42.2,68.9,60671,1,2.4,0,0,25.6,60.8,5,8.2,68272,"ANDREWS ISD"
"'002901104","UNDERWOOD EL",28.1,46.8,60,0,0,13.9,23.2,2,2,2,1,0,46.1,76.8,1,0,2,3.3,86600,3,7.5,53550,2,4.9,54863,14.5,36.2,56997,16.7,41.5,61628,4,10,67250,0,0,.,0,0,34.6,86.2,5.8,14.5,0,0,4.9,12.2,11.8,35.2,87.6,1.9,4.8,14.2,35.3,0,0,16.1,5,12.4,5.5,13.8,0,0,0,0,0,0,0,0,24.7,61.6,2.8,7,7.9,40.2,66.9,59578,2,5,0,0,24,59.8,3.9,6.5,70520,"ANDREWS ISD"
"'002901105","CLEARFORK EL",41.1,43.7,93.9,1,0,35.7,38,3,3,2,2,0,58.2,62,1,0,3,3.2,80093,2,4,53550,16,32,55112,9,18,57989,13.1,26.1,62331,8,16,67575,2,4,79902,0,0,38.1,76,10.6,21.1,0,0,2.8,5.6,11.7,48.1,96,0.1,0.1,15.1,30.1,0,0,15.4,2,4,12,24,0,0,0,0,0,0,0,0,32.9,65.7,3.7,7.4,7.2,50.1,53.3,60433,0,0,0,0,35,69.9,5.1,5.4,70264,"ANDREWS ISD"
"'003801001","PINEYWOODS COMMUNITY ACADEMY H S",4.2,14.7,28.2,0,0,4,14.1,3,3,10,1,0,24.2,85.9,0,1,2.5,8.9,79882,1,4.9,46810,5.1,25.3,49802,2.2,10.7,57332,6.7,33.3,56326,5.2,25.8,63689,0,0,.,0,0,15.2,75.3,0,0,1,4.9,0.2,0.8,12.4,15.9,78.6,0,0,1.2,5.8,0,0,12.7,4.3,21.4,4,19.8,1,4.9,0,0,0,0,0,0,16.2,80.1,1.5,7.2,4.8,20.2,71.7,56207,0,0,2.4,11.9,18.1,89.3,1.5,5.3,61070,"PINEYWOODS COMMUNITY ACADEMY"
"'003801042","DR TERRY ROBBINS MIDDLE",2.7,13.7,19.6,0,0,2.8,14.5,0,0,0,0,0,16.8,85.5,0,1,0.5,2.5,55160,2,12.7,47005,3.9,24.6,47066,6.8,43.4,52819,2.3,14.4,56719,0.8,5,73734,0,0,.,0,0,14.8,93.7,0,0,0,0,0.8,5.3,8.7,13.1,83.1,0,0,1.8,11.6,0,0,14.3,2.7,16.9,1,6.3,0,0,0,0,0,0,0,0,14.7,93,0.3,1.7,3.6,15.8,80.4,52274,0,0,0,0,13.9,88.4,0.5,2.5,84260,"PINEYWOODS COMMUNITY ACADEMY"
"'003801103","SARAH STRINDEN EL",5,11.3,44.3,0,0,7.3,16.4,6,1,2,2,0,37,83.6,1,0,3,6.8,69215,1,3.1,48143,13.5,42,46527,8,25,52169,6,18.7,57725,3.6,11.1,74922,0,0,.,0,0,28.5,88.9,0,0,1,3.1,3,9.4,8.5,31,96.9,1,3.1,2,6.2,0,0,16.1,1,3.1,3.6,11.1,0,0,0,0,0,0,0,0,25.7,80.2,2.3,7.3,3.6,32,72.3,53240,0,0,0,0,29,90.6,2,4.5,65629,"PINEYWOODS COMMUNITY ACADEMY"
"'003902001","HUDSON H S",5.9,7.6,78.5,0,1,5.8,7.4,11,11,4.5,3.5,0.2,72.7,92.6,3,0,4.2,5.4,86992,4.8,7.8,47280,10.8,17.6,49665,14.1,23,55834,19.8,32.4,58147,7.7,12.6,68936,4,6.5,67389,0,0,48.3,78.9,0.3,0.5,1,1.6,0.7,1.1,13,37.3,60.8,0.1,0.2,4.1,6.8,0,0,13,24,39.2,11.2,18.3,0.7,1.2,4.9,7.9,1,1.6,0,0,29.1,47.5,10.6,17.3,8.1,61.3,78.1,57230,0,0,15.6,25.5,56.1,91.6,7.2,9.1,74458,"HUDSON ISD"
"'003902004","STUBBLEFIELD LRN CTR",0,0,6,0,0,0,0,6,6,0,0,0,6,100,0,0,1,16.7,99934,0,0,.,0,0,.,2,40,61938,3,60,67176,0,0,.,0,0,.,0,0,4,80,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1.6,5,100,1,20,0,0,0,0,0,0,0,0,4.3,85.3,0,0,9.6,5,83.3,65081,0,0,0.7,14.7,5,100,0,0,.,"HUDSON ISD"
"'003902041","HUDSON MIDDLE",8,11.5,69.2,0,1,6,8.7,2,2,2.5,1.5,0.4,63.2,91.3,2,0,4.5,6.5,74951,4.2,7.7,45183,8,14.6,49583,12.9,23.7,53774,15.8,29,57392,10.1,18.6,64097,3.5,6.4,64886,0,0,42.2,77.4,0.3,0.5,0,0,2.2,4,13.2,44,80.7,7.8,14.4,4.9,8.9,0,0,11.8,10.5,19.3,12,22.1,0.3,0.5,0,0,0,0,0,0,36.9,67.6,5.2,9.6,8.3,54.5,78.8,56182,0,0,2.2,3.9,49.7,91.1,4.2,6,67031,"HUDSON ISD"
"'003902101","W F PEAVY PRI",10.9,14.9,73.1,1,0,16.5,22.6,6,6,3.5,3.5,0.4,56.6,77.4,1,0,3,4.1,71270,3,6.2,47167,13,26.8,48790,14.7,30.5,51028,9.5,19.5,56087,4.7,9.7,63874,3.5,7.2,67214,0,0,40.7,84.1,0,0,0,0,8,16.6,11.5,46.2,95.5,1,2.1,4,8.3,0,0,14.3,2.2,4.5,7.7,15.9,0,0,0,0,0,0,0,0,34.9,72.2,4.4,9.1,7.3,48.4,66.2,53597,0,0,0,0,44.4,91.7,5.2,7.1,64346,"HUDSON ISD"
"'003902102","W H BONNER EL",6,9.5,63.5,1,0,7.5,11.8,2,2,3,1.5,0.4,56,88.2,1,0,4,6.3,68108,2,4.2,47000,5,10.6,48300,13.7,28.9,51334,13.9,29.3,55517,9.3,19.6,63310,3.5,7.4,66929,1,2.1,35.1,74,0,0,0,0,3.1,6.4,14.2,43.7,92.3,6.3,13.2,2,4.2,0,0,13.1,3.6,7.7,11.3,23.9,1,2.1,0,0,0,0,0,0,28.9,61.1,9.1,19.3,7.4,47.4,74.6,55555,0,0,0,0,44.4,93.7,4.6,7.2,65685,"HUDSON ISD"
"'003903001","LUFKIN H S",68.5,29.2,234.7,1,0,21.6,9.2,3,2,8.4,5,0,213.1,90.8,7,2,13.1,5.6,85046,13,7.2,42773,55.6,30.8,49043,30.4,16.8,53610,42.8,23.7,56634,27.9,15.5,67156,11.1,6.1,76120,1,0.6,131.1,72.5,1.4,0.8,18.5,10.2,0,0,12.3,107.9,59.7,0.8,0.4,22.8,12.6,1.6,0.9,11.8,72.9,40.3,44.7,24.7,5,2.8,20.7,11.4,0,0,0,0,118.5,65.5,12.3,6.8,8.5,180.8,77,55621,2,1.1,27.1,15,135,74.7,19.3,8.2,63293,"LUFKIN ISD"
"'003903004","STUBBLEFIELD LRN CTR",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LUFKIN ISD"
"'003903044","LUFKIN MIDDLE",80.5,47.2,170.5,0,1,23,13.5,2,2,3.2,2.8,0,147.5,86.5,4,0,10,5.9,74081,16.8,13.9,42153,36.3,30,48168,26.7,22.1,51587,23.3,19.3,54573,14.2,11.7,62753,3.5,2.9,68990,0,0,100.4,83,1.1,0.9,27.7,22.9,0,0,10.2,98.2,81.2,0,0,19,15.7,0.4,0.4,12.3,22.8,18.8,20.5,17,0,0,16.6,13.8,0,0,0,0,86.9,71.8,14.3,11.8,6.9,120.9,70.9,51641,0,0,2,1.7,73.8,61,16.6,9.7,67690,"LUFKIN ISD"
"'003903120","ANDERSON EL",11.2,29.5,38,1,0,11,28.9,9,9,9,6,0,27,71.1,1,0,2,5.3,86535,2,9.7,58572,2,9.7,52022,4,19.4,50635,7.5,36.2,55172,4,19.4,64483,1.2,5.7,68935,1,4.8,15.1,73,0.2,0.7,2,9.7,0.9,4.3,15.1,18.6,90.3,0,0,1,4.8,0,0,11.8,2,9.7,5.6,27,0,0,0,0,0,0,0,0,17.7,85.9,1.9,9,10.2,20.6,54.4,56900,0,0,0,0,16.6,80.6,4.4,11.5,59132,"LUFKIN ISD"
"'003903121","BRANDON EL",12,26.6,45.2,1,0,9,19.9,3,3,3.5,3.5,0,36.2,80.1,1,0,3,6.6,67689,2,6.9,46420,10,34.5,46040,3,10.4,51297,5.5,18.8,55154,6.5,22.4,65656,2,6.9,68529,0,0,17,58.6,0,0,2,6.9,0,0,12.9,27.5,94.8,0.7,2.5,2,6.9,0,0,13.6,1.5,5.2,12,41.4,0,0,0,0,0,0,0,0,27.2,94,1,3.5,6.5,29,64.1,54285,0,0,0,0,25,86.2,4.2,9.4,51898,"LUFKIN ISD"
"'003903122","BROOKHOLLOW EL",11.9,31.4,37.9,1,0,9.4,24.9,5,5,4,3.5,0,28.5,75.1,1,0,3,7.9,69193,2.4,11.6,52276,8.7,42.2,46432,3,14.5,49827,2.5,12.3,55033,4,19.4,63018,0,0,.,0,0,18.3,88.5,0,0,3.8,18.2,0.1,0.6,8.2,17.2,83.6,0,0,0,0,0,0,12.1,3.4,16.4,2,9.7,0.4,1.8,0,0,0,0,0,0,17.8,86.1,2.7,13.3,4.9,20.6,54.4,51876,0,0,0,0,16.9,81.8,4.9,12.8,60833,"LUFKIN ISD"
"'003903123","COSTON EL",10.4,27.1,38.3,1,0,12.7,33.2,2,2,8,6,0,25.6,66.8,1,0,1.1,2.9,81430,1,5.3,33660,3,15.8,43099,5.4,28.5,50784,3.4,18,56976,5,26.3,66548,1.1,6,68964,0,0,16.1,85,0,0,1,5.3,0.4,2,15.3,17,89.5,0,0,0.4,2.2,0,0,10.7,2,10.5,2.4,12.8,0.4,2.2,0,0,0,0,1,5.3,16.1,84.9,2.5,13.1,9.9,19,49.5,55024,0,0,0,0,16.6,87.3,5.5,14.4,56170,"LUFKIN ISD"
"'003903124","DUNBAR PRI",13.7,34.4,40,0,0,6.7,16.9,0,0,2.3,2.3,0,33.2,83.1,1,0,3.2,8,64648,5,19.2,43258,9,34.6,49773,3,11.5,53020,7,26.9,54530,2,7.7,62628,0,0,.,0,0,22,84.6,0,0,4,15.4,0,0,8,25,96.2,10.6,40.9,3,11.5,0,0,14.7,1,3.8,3,11.5,1,3.8,0,0,0,0,0,0,14.4,55.3,1,3.8,6.1,26,65,51164,0,0,0,0,19,73.1,4,10,54892,"LUFKIN ISD"
